id;photo_id;photo;photo_content_type
1;84456;../fake-data/blob/hipster.png;image/png
2;86259;../fake-data/blob/hipster.png;image/png
3;42580;../fake-data/blob/hipster.png;image/png
4;44864;../fake-data/blob/hipster.png;image/png
5;53282;../fake-data/blob/hipster.png;image/png
6;11750;../fake-data/blob/hipster.png;image/png
7;68402;../fake-data/blob/hipster.png;image/png
8;96762;../fake-data/blob/hipster.png;image/png
9;29391;../fake-data/blob/hipster.png;image/png
10;93973;../fake-data/blob/hipster.png;image/png
